Zeit;Kanal A
(ms);(mV)

-22,09187413;0,37217020
-22,08687413;0,74434050
-22,08187413;-0,74434050
-22,07687413;-1,67568900
-22,07187413;-3,16498500
-22,06687413;-4,09571800
-22,06187413;-4,84067400
-22,05687413;-5,77140700
-22,05187413;-6,70275500
-22,04687413;-6,70275500
-22,04187413;-7,26131900
-22,03687413;-6,70275500
-22,03187413;-5,39923700
-22,02687413;-5,77140700
-22,02187413;-5,95780000
-22,01687413;-6,70275500
-22,01187413;-6,32997000
-22,00687413;-5,77140700
-22,00187413;-5,95780000
-21,99687413;-5,77140700
-21,99187413;-5,58562900
-21,98687413;-6,70275500
-21,98187413;-8,19205200
-21,97687413;-7,81988100
-21,97187413;-9,30917700
-21,96687413;-10,61270000
-21,96187413;-11,35704000
-21,95687413;-11,35704000
-21,95187413;-12,10199000
-21,94687413;-13,03334000
-21,94187413;-13,77768000
-21,93687413;-14,15047000
-21,93187413;-14,15047000
-21,92687413;-14,33624000
-21,92187413;-13,77768000
-21,91687413;-13,40551000
-21,91187413;-12,10199000
-21,90687413;-11,91621000
-21,90187413;-10,61270000
-21,89687413;-10,05413000
-21,89187413;-9,86774200
-21,88687413;-9,49557100
-21,88187413;-9,12278500
-21,87687413;-8,75061500
-21,87187413;-9,12278500
-21,86687413;-8,75061500
-21,86187413;-8,19205200
-21,85687413;-9,30917700
-21,85187413;-9,30917700
-21,84687413;-9,68134800
-21,84187413;-10,42630000
-21,83687413;-10,05413000
-21,83187413;-10,61270000
-21,82687413;-11,54343000
-21,82187413;-11,54343000
-21,81687413;-11,17126000
-21,81187413;-12,28839000
-21,80687413;-12,28839000
-21,80187413;-12,47478000
-21,79687413;-12,10199000
-21,79187413;-10,61270000
-21,78687413;-11,91621000
-21,78187413;-11,17126000
-21,77687413;-11,54343000
-21,77187413;-10,98487000
-21,76687413;-10,61270000
-21,76187413;-10,42630000
-21,75687413;-10,61270000
-21,75187413;-10,05413000
-21,74687413;-10,61270000
-21,74187413;-9,68134800
-21,73687413;-9,30917700
-21,73187413;-9,12278500
-21,72687413;-10,05413000
-21,72187413;-9,86774200
-21,71687413;-10,05413000
-21,71187413;-9,49557100
-21,70687414;-10,05413000
-21,70187414;-9,49557100
-21,69687414;-10,42630000
-21,69187414;-10,61270000
-21,68687414;-12,10199000
-21,68187414;-10,79847000
-21,67687414;-10,42630000
-21,67187414;-10,61270000
-21,66687414;-10,42630000
-21,66187414;-10,05413000
-21,65687414;-10,05413000
-21,65187414;-9,49557100
-21,64687414;-9,49557100
-21,64187414;-8,56422200
-21,63687414;-7,81988100
-21,63187414;-7,26131900
-21,62687414;-7,26131900
-21,62187414;-6,70275500
-21,61687414;-6,32997000
-21,61187414;-5,95780000
-21,60687414;-5,95780000
-21,60187414;-5,39923700
-21,59687414;-5,39923700
-21,59187414;-5,02706700
-21,58687414;-5,39923700
-21,58187414;-5,95780000
-21,57687414;-5,77140700
-21,57187414;-5,95780000
-21,56687414;-5,95780000
-21,56187414;-6,88853300
-21,55687414;-6,88853300
-21,55187414;-6,32997000
-21,54687414;-6,51636300
-21,54187414;-6,32997000
-21,53687414;-6,32997000
-21,53187414;-6,70275500
-21,52687414;-6,32997000
-21,52187414;-6,14419300
-21,51687414;-5,02706700
-21,51187414;-5,39923700
-21,50687414;-3,53715500
-21,50187414;-5,39923700
-21,49687414;-3,53715500
-21,49187414;-3,16498500
-21,48687414;-2,04785900
-21,48187414;-1,30290300
-21,47687414;-0,74434050
-21,47187414;0,37217020
-21,46687414;2,04785900
-21,46187414;1,86146600
-21,45687414;2,97859200
-21,45187414;3,90994000
-21,44687414;4,28211100
-21,44187414;5,21284400
-21,43687414;5,95780000
-21,43187414;8,00565900
-21,42687414;8,00565900
-21,42187414;7,44709600
-21,41687414;7,63348900
-21,41187414;8,37844500
-21,40687414;8,56422200
-21,40187414;9,49557100
-21,39687414;8,93700700
-21,39187414;9,30917700
-21,38687414;9,12278500
-21,38187414;9,49557100
-21,37687414;10,23991000
-21,37187414;10,61270000
-21,36687414;10,42630000
-21,36187414;11,54343000
-21,35687414;11,54343000
-21,35187414;13,03334000
-21,34687414;13,03334000
-21,34187414;13,21912000
-21,33687414;12,10199000
-21,33187414;12,66056000
-21,32687414;13,03334000
-21,32187414;12,84695000
-21,31687414;13,03334000
-21,31187415;13,03334000
-21,30687415;13,03334000
-21,30187415;12,28839000
-21,29687415;12,10199000
-21,29187415;11,72982000
-21,28687415;11,72982000
-21,28187415;11,17126000
-21,27687415;11,54343000
-21,27187415;11,17126000
-21,26687415;11,72982000
-21,26187415;11,91621000
-21,25687415;12,28839000
-21,25187415;11,35704000
